,Ticker,Co_name
120,GAIL.NS,GAIL (India) Limited
121,TAJGVK.BO,TAJGVK Hotels & Resorts Limited
122,POWERGRID.NS,Power Grid Corporation of India Limited
123,ONGC.BO,Oil and Natural Gas Corp. Ltd.
124,VHL.NS,Vardhman Holdings Limited
125,HINDUNILVR.NS,Hindustan Unilever Limited
126,HINDPETRO.NS,Hindustan Petroleum Corporation Limited
127,HCC.NS,Hindustan Construction Company Limited
128,PAPERPROD.BO,Huhtamaki PPL Limited
129,ITHL.BO,International Travel House Limited
130,HIRECT.NS,Hind Rectifiers Limited
131,HESTERBIO.BO,Hester Biosciences Ltd
132,HCC.BO,Hindustan Construction Company Limited
133,GUJHOTE.BO,Gujarat Hotels Ltd.
134,GRAVISSHO.BO,Graviss Hospitality Limited
135,BENARAS.BO,Benares Hotels Limited
136,ZENITHHE.BO,Zenith Healthcare Ltd
137,WONDERLA.BO,WONDERLA HOLIDAYS LTD
138,WHBRADY.BO,WH Brady & Company Limited
139,THEBYKE.BO,THE BYKE HOSPITALITY LTD.
140,SYNCOM.NS,Syncom Healthcare Limited
141,SUNILHITEC.BO,Sunil Hitech Engineers Ltd.
142,STERLINH6.BO,STERLINH6.BO
143,STERLINH.BO,Sterling Holiday Resorts (India) Limited
144,SHHARICH.BO,Shree Hari Chemicals Export Limited
145,SGJHL.BO,Shree Ganesh Jewellery House (I) Limited
146,ROHLTD.NS,Royal Orchid Hotels Limited
147,ROHLTD.BO,Royal Orchid Hotels Limited
148,JUBLINDS.NS,Jubilant Industries Limited
149,JKIL.BO,J.Kumar Infraprojects Limited
150,JVLAGRO.BO,JVL Agro Industries Ltd
151,JISLJALEQS.NS,Jain Irrigation Systems Limited
152,JAIBALAJI.BO,Jai Balaji Industries Ltd.
153,ZODJRDMKJ.NS,Zodiac-JRD-MKJ Limited
154,SBBJ.NS,State Bank of Bikaner & Jaipur
155,SBBJ.BO,State Bank of Bikaner & Jaipur
156,PCJEWELLER-EQ.NS,PC JEWELLER LIMITE INR10
157,JYOTI.BO,Jyoti Ltd.
158,JYOTHYLAB.NS,Jyothy Laboratories Limited
159,JUBLFOOD.NS,Jubilant FoodWorks Limited
160,JUBLFOOD.BO,Jubilant FoodWorks Limited
161,JUBILANT.NS,Jubilant Life Sciences Limited
162,JSWSTEEL.NS,JSW Steel Limited
163,JSWSTEEL.BO,JSW STEEL LTD.
164,JSWENERGY.BO,JSW Energy Limited
165,JPTSEC.BO,JPT Securities Ltd.
166,JPPOWER.NS,Jaiprakash Power Ventures Limited
167,JPPOWER.BO,Jaiprakash Power Ventures Limited
168,JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited
169,JPINFRATEC.BO,Jaypee Infratech Limited
170,JKTYRE.NS,JK Tyre & Industries Limited
171,JKPAPER.NS,JK Paper Limited
172,JISLDVREQS.NS,Jain Irrigation Systems Limited
173,JINDCOT.NS,Jindal Cotex Limited
174,JINDALSAW.NS,Jindal Saw Limited
175,JETKINGQ.BO,Jetking Infotrain Limited
176,JETAIRWAYS.BO,Jet Airways (India) Ltd.
177,JCTLTD.BO,JCT Ltd.
178,JBFIND.NS,JBF Industries Limited
179,JAMESWARREN.BO,JAMES WARREN TEA LTD
180,JAIHINDPRO.NS,Jaihind Projects Limited
181,JAGSONFI.BO,Jagsonpal Finance & Leasing Ltd
182,JAGRAN.NS,Jagran Prakashan Limited
183,JMFINANCIL-EQ.NS,JM FINANCIAL INR1
184,DIVYAJYQ.BO,Divya Jyoti Industries Ltd
185,BJDUP.BO,B.J.DUPLEX BOARDS LTD.
186,JAGSNPHARM-EQ.NS,JAGSONPAL PHARMACE INR5
187,JAMNAAUTO.NS,Jamna Auto Industries Limited
188,JAICORPLTD.NS,Jai Corp Limited
189,JAIMI.BO,JAI MATA INDUSTRIES LTD.
190,JMA.NS,Jullundur Motor Agency (Delhi) Limited
191,JYOTISTRUC-EQ.NS,JYOTI STRUCTURES INR2
192,JYOTIRES.BO,Jyoti Resins & Adhesives Ltd.
193,JUPITERIN.BO,JUPITER INFOMEDIA LTD.
194,JENSONICOL.BO,JENSON & NICHOLSON (INDIA) LTD
195,JKLAKBBPH.BO,JKLAKSHMI*
196,JUSTDIAL.NS,Just Dial Limited
197,JARITEX.BO,Kintech Renewables Limited
198,JAYENGY.BO,JAY ENERGY AND S.ENERGIES LTD.
199,JKIL.NS,J. Kumar Infraprojects Limited
200,JAYATMA.BO,Jayatma Spinners Limited
201,JAYAMEL.BO,Jayant Mercantile Co. Ltd.
202,RJBIOTECH.BO,R J BIO-TECH LTD
203,JINDWORLD.BO,JINDAL WORLDWIDE LTD.
204,J&KBANK.NS,The Jammu and Kashmir Bank Limited
205,JINDALSTEL.BO,JINDAL STEEL & POWER LTD.
206,JINDALPOLY.BO,JINDAL POLY FILMS LTD.
207,JPASSOCIAT.BO,JAIPRAKASH ASSOCIATES LTD.
208,JINDONL.BO,Kashyap Tele-Medicines Limited
209,JAGPRO.BO,VERONICA PRODUCTION LTD
210,JUSTDIAL-EQ.NS,JUST DIAL LTD INR10
211,JISLDVREQS.BO,JAIN IRRIGATION SYSTEMS LTD.
212,JPASSOCIAT6.BO,JPASSOCIAT6.BO
213,JSTL.BO,Jeevan Scientific Technology L
214,JKAGRI.BO,Florence Investech Limited
215,J&KBANK-EQ.NS,THE JAMMU & KASHMIR BANK LIMITE
216,JAMEHOT.BO,James Hotels Ltd
217,JETINFRA.BO,Jet Infraventure Limited
218,JINDALSAW.BO,JINDAL SAW LTD.
219,JAMNAAUTO-EQ.NS,JAMNA AUTO INDUSTRIES LIMITED
220,JSWSTEEL-P2.NS,JSW STEEL LTD 0.01% PRF 15/03/1
221,JENBURPH.BO,Jenburkt Pharmaceuticals Ltd.
222,CJGEL.BO,C.J. Gelatine Products Ltd.
223,JCTEL-EQ.NS,JCT ELECTRONICS INR1.00
224,JLMORI.BO,J. L. Morison (India) Limited
225,PCJEWELLER.NS,PC Jeweller Limited
226,JATTAINDUS.BO,JATTASHANKAR INDUSTIES LTD.
227,JSWHL-EQ.NS,JSW HOLDINGS LIMIT INR10
228,JAYKAY.BO,JAYKAY ENTERPRISES LTD.
229,JSL.BO,Jindal Stainless Limited
230,JAYSYN.BO,Jaysynth Dyestuff India Ltd.
231,JMCPROJECT.BO,JMC PROJECTS (INDIA) LTD.
232,JTLINFRA.BO,JTL INFRA LTD.
233,NARBADA.BO,Narbada Gems And Jewellery Ltd
234,TARAJEWELS.NS,Tara Jewels Limited
235,JAYUSH.BO,Jay Ushin Limited
236,JSWENERGY.NS,JSW Energy Limited
237,JAYNECOIND-EQ.NS,JAYASWAL NECO IND INR10
238,JUMBO.BO,JUMBO BAG LTD.
239,SAIJEEV.BO,SAI JEEVADHARA FINANCE LIMITED
240,JUMBFNL.BO,JUMBO FINANCE LTD.
241,JBFIND.BO,JBF Industries Limited
242,JKCEMENT.NS,J.K. Cement Limited
243,JUMBO-BZ.NS,JUMBO-BZ.NS
244,JKPAPER-EQ.NS,JK PAPER LIMITED
245,JINDHOT.BO,Jindal Hotels Ltd
246,JSL6.BO,JSL6.BO
247,JUNIORBEES.NS,Goldman Sachs Junior BeES ETF
248,JAGSONAI.BO,Jagson Airlines Ltd.
249,JINDCOT-EQ.NS,JINDAL COTEX LIMITED
250,JAICORPLTD6.BO,JAICORPLTD6.BO
251,AJBRO.BO,A.J.BROTHERS LTD.
252,JIKIND.BO,JIK INDUSTRIES LTD.
253,LYPSAGEMS.BO,LYPSA GEMS & JEWELLERY LTD
254,JOSTS.BO,Josts Engineering Company Ltd
255,JINDALPHOT.NS,Jindal Photo Limited
256,JAIBALAJI-EQ.NS,JAI BALAJI INDUSTRIES LIMITED
257,JAIHINDS.BO,Jaihind Synthetics Limited
258,AJIL.BO,ATLAS JEWELLERY INDIA LIMITED
259,JKTYRE.BO,JK TYRE & INDUSTRIES LTD.
260,JAGSNPHARM.BO,JAGSONPAL PHARMACEUTICALS LTD.
261,JMDTELEFILM.BO,JMD Ventures Limited
262,JAYBARMARU.BO,JAY BHARAT MARUTI LTD.
263,JAGDAMD.BO,JAGDAMD.BO
264,JOYREALTY.BO,Joy Realty Ltd
265,JMPCAST.BO,JMP CASTINGS LTD.
266,JAYAGROGN.NS,Jayant Agro-Organics Limited
267,PCJEWELLER.BO,PC JEWELLER LTD.
268,JAIBALAJI.NS,Jai Balaji Industries Limited
269,JINDWORLD.NS,Jindal Worldwide Limited
270,JKPAPER.BO,JK PAPER LTD.
271,JIKIND-BE.NS,JIK INDUSTRIES INR10
272,JMDEPACKR.BO,JMDE PACKAGING & REALTIES LTD.
273,JAIMATAG.BO,Jai Mata Glass Ltd.
274,JMTAUTOLTD-EQ.NS,JMT AUTO LIMITED
275,JSWHL.NS,JSW Holdings Limited
276,JINDALPHOT.BO,JINDAL PHOTO LTD.
277,JKLAKSHMI.BO,JK Lakshmi Cement Limited
278,JTAPARIA.BO,J. TAPARIA PROJECTS LTD
279,JOLLYRID.BO,JOLLY RIDES LTD.
280,JIYAECO.BO,Jiya Eco-Products Limited
281,JISLJALEQS6.BO,JISLJALEQS6.BO
282,JAIHINDPRO-EQ.NS,JAIHIND PROJECTS LIMITED
283,SHJAGDM.BO,Shree Jagdambe Paper Mills Ltd.
284,KMSUGAR.BO,KM Sugar Mills Ltd.
285,SKPMIL.BO,Shree Krishna Paper Mills & Industries Ltd.
286,KPRMILL.NS,K.P.R. Mill Limited
287,KPIT.NS,KPIT Technologies Limited
288,KOTAKBANK.NS,Kotak Mahindra Bank Limited
289,KONARKSY.BO,"Konark Synthetic, Ltd."
290,SONASTEER.BO,SONA KOYO STEERING SYSTEMS LTD
291,SHKARTP.BO,Shree Karthik Papers Ltd.
292,KUWERIN.BO,Kuwer Industries Limited
293,KUNSTOFF.BO,Kunststoffe Industries
294,KTKBANK.BO,Karnataka Bank Ltd.
295,KTIL.NS,Kesar Terminals & Infrastructure Limited
296,KSK.NS,KSK Energy Ventures Limited
297,KSK.BO,KSK Energy Ventures Limited
298,KSERASERA.NS,KSS Limited
299,KSCL.NS,Kaveri Seed Company Limited
300,KSCL.BO,Kaveri Seed Company Limited
301,KREBSBIO.BO,Krebs Biochemicals & Industries Ltd
302,KOTHARIPRO.NS,Kothari Products Limited
303,KOTHARIPRO.BO,Kothari Products Ltd
304,KOTARISUG.NS,Kothari Sugars and Chemicals Limited
305,KOTAKBANK.BO,Kotak Mahindra Bank Limited
306,KOPRAN.NS,Kopran Limited
307,KOPRAN.BO,Kopran Limited
308,KOFFBREAK.BO,Koffee Break Pictures Limited
309,KOATOOLIN.BO,KOA Tools India Limited
310,KNRCON.NS,KNR Constructions Limited
311,KNRCON.BO,KNR Constructions Limited.
312,KNIWE.BO,KNITWORTH EXPORTS LTD.
313,KLKELEC.BO,KLK Electrical Ltd
314,KITEX.NS,Kitex Garments Limited
315,KIRLPNU.BO,Kirloskar Pneumatic Company Ltd
316,KIRLOSENG.NS,Kirloskar Oil Engines Limited
317,KIRANSY-B.BO,KIRAN SYNTEX LTD.
318,KILPEST.BO,Kilpest India Ltd.
319,KILBURN.BO,Kilburn Office Automation Ltd.
320,KHODAY.BO,Khoday India Limited
321,KBIL.NS,Kirloskar Brothers Investments Ltd.
322,KHANDSE.BO,Khandwala Securities Limited
323,KHAITANLTD.BO,Khaitan (India) Ltd.
324,KGL.NS,Karuturi Global Limited
325,KESARENT.NS,Kesar Enterprises Limited
326,KENNAMET.BO,Kennametal India Limited
327,KENGI.BO,KENGOLD (INDIA) LTD.
328,KEMP.BO,Kemp & Co. Ltd
329,KEC.NS,KEC International Limited
330,KDDL.BO,KDDL Limited
331,KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited
332,KCP.BO,The KCP Limited
333,KAYCEEI.BO,Kaycee Industries Ltd.
334,KATWAUD.BO,Shri Keshav Cements and Infra Limited
335,KATRSPG.BO,Katare Spinning Mills Ltd.
336,GKCONS.BO,G.K. Consultants Limited
337,ESKAY.BO,Eskay K'n'IT (India) Limited
338,EKC.NS,Everest Kanto Cylinder Limited
339,DAICHI.BO,Dai-Ichi Karkaria Limited
340,ABMKNO.BO,ABM Knowledgeware Limited
341,KRITIIND.BO,Kriti Industries (India) Ltd.
342,KAJARIR.BO,KIC Metaliks Ltd.
343,KSLIND.BO,KSL and Industries Ltd
344,APOWERTOOL.BO,CONSORTEX KARL DOELITZCH (INDI
345,KILBURNC.BO,Kilburn Chemicals Limited
346,KAIRA.BO,Kaira Can Company Limited
347,KSL.NS,Kalyani Steels Limited
348,KUSHAL.BO,KUSHAL TRADELINK LTD
349,KANELIND.BO,KANEL INDUSTRIES LIMITED
350,KANSAINER.NS,Kansai Nerolac Paints Limited
351,KANDAGIRI.BO,KANDAGIRI SPINNING MILLS LTD.
352,SKUMARSYN.NS,S. Kumars Nationwide Ltd.
353,KICL-EQ.NS,KALYANI INVESTMENT COMPANY LIMI
354,MRF.NS,MRF Limited
355,TATASTEEL.NS,Tata Steel Limited
356,SPICEJET.BO,SpiceJet Limited
357,RPOWER.BO,Reliance Power Limited
358,RELIANCE.NS,Reliance Industries Limited
359,NOCIL.NS,NOCIL Limited
360,ICIL.NS,Indo Count Industries Limited
361,WARNER.BO,Warner Multimedia Ltd.
362,WALCHPF.BO,Walchand Peoplefirst Limited
363,TCS.NS,Tata Consultancy Services Limited
364,TCI.BO,Transport Corp. of India Ltd.
365,SURANAIND.NS,Surana Industries Limited
366,STANPACK.BO,Stanpacks (India) Limited
367,SASKEN.NS,Sasken Technologies Limited
368,RENUKA.BO,Shree Renuka Sugars Limited
369,RELINFRA.NS,Reliance Infrastructure Limited
370,RELCAPITAL.BO,Reliance Capital Limited
371,RAIN.BO,Rain Industries Limited
372,PRATIBHA.BO,Pratibha Industries Ltd.
373,PRAJIND.NS,Praj Industries Limited
374,POLTC.BO,Polygenta Technologies Limited
375,OLYOI.BO,Olympic Oil Industries Ltd.
376,NICCO.NS,Nicco Corporation Limited
377,MPILCORPL.BO,MPIL Corporation Limited
378,MARUTI.NS,Maruti Suzuki India Limited
