,Ticker,Co_name
1727,RAGHAVAEPL.BO,RAGHAVA ESTATES AND PROPERTIES
1728,ANANDCR.BO,ANAND CREDIT LTD.
1729,EMKAYTOOLS-SM.NS,EMKAY TAPS AND CUT INR10
1730,SUTLEJTEX.BO,Sutlej Textiles and Industries Ltd.
1731,ANILSPL.BO,Anil Special Steel Industries Ltd.
1732,SHRINIWAS.BO,Shri Niwas Leasing and Finance
1733,GPIL-EQ.NS,GODAWARI POWER AND ISPAT LIMITE
1734,CARERATING.NS,CARE Ratings Limited
1735,WELINV.BO,WELSPUN INVESTMENTS AND COMMER
1736,ANKURDRUGS.BO,ANKUR DRUGS & PHARMA LTD.
1737,IPPL.BO,KOTIA ENTERPRISES LTD
1738,ANKUSHFI.BO,Ankush Finstock Ltd.
1739,SFCL.NS,Star Ferro and Cement Limited
1740,ANGIND.NS,ANG Industries Limited
1741,KDJHRL.BO,KDJ HOLIDAYSCAPES AND RESORTS
1742,SANGHVIFOR.NS,Sanghvi Forging & Engineering Limited
1743,ANUPMAL.BO,ANUP MALLEABLE LTD.
1744,BLFL.BO,Boston Leasing and Finance Ltd
1745,BLKASHYAP.NS,B.L. Kashyap and Sons Limited
1746,LLOYDSME.BO,LLOYDS METALS AND ENERGY LTD.
1747,SUNSHINE.BO,SUN AND SHINE WORLDWIDE LTD.
1748,ANSHUS.BO,ANSHUS CLOTHING LTD.
1749,DITCO.BO,Decorous Investment and Tradin
1750,COX&KINGS.NS,Cox & Kings Limited
1751,ANISHAIMPEX.BO,ANISHA IMPEX LTD
1752,ANGIND.BO,ANG INDUSTRIES LIMITED
1753,TECHNO.BO,TECHNO ELECTRIC AND ENGINEERIN
1754,INDAGERES.BO,INDAGE RESTAURANTS AND LEISURE
1755,ANARINDUS.BO,ANAR INDUSTRIES LTD.
1756,ANGIND-EQ.NS,ANG INDUSTRIES LTD INR10
1757,CCHHL.BO,COUNTRY CLUB HOSPITALITY AND H
1758,FILTRA.BO,Filtra Consultants and Enginee
1759,TGBHOTELS.NS,TGB Banquets And Hotels Limited
1760,ANNTHMS.BO,ANANTHI CONSTRUCTIONS LTD.
1761,JPOLYINVST-EQ.NS,JINDAL POLY INV & INR10
1762,ANILLTD.BO,ANIL LTD.
1763,TGBHOTELS.BO,TGB BANQUETS AND HOTELS LTD.
1764,TEXMOPIPES-EQ.NS,TEXMO PIPES & PROD INR10
1765,CARERATING-EQ.NS,CREDIT ANALYSIS AND RESEARCH LI
1766,DEVKI.BO,Devki Leasing & Finance Ltd
1767,WELINV.NS,Welspun Investments and Commercials Limited
1768,ANIKINDS.BO,Anik Industries Limited
1769,BOSTON.BO,BOSTON EDUCATION AND SOFTWARE
1770,APTECHT.NS,Aptech Limited
1771,APTECHT.BO,APTECH LTD.
1772,APOLSINHOT.NS,Apollo Sindoori Hotels Limited
1773,APLAPOLLO.NS,APL Apollo Tubes Limited
1774,APARINDS.NS,Apar Industries Limited
1775,APOLLOHOSP4.BO,APOLLOHOSP4.BO
1776,PARTANI.BO,Partani Appliances Limited
1777,ELAND.NS,E-Land Apparel Limited
1778,APOORVA.BO,Apoorva Leasing Finance & Inve
1779,MOMAI-SM.NS,MOMAI APPARELS LTD INR10
1780,APCOTEXIND-EQ.NS,APCOTEX INDUSTRIES LIMITED
1781,PHELAPP.BO,PHELIX APPLIANCES LTD.
1782,APARINDS.BO,APAR INDUSTRIES LTD.
1783,SHIAE.BO,SHIVAM APPERALS EXPORT LTD.
1784,APLAPOLLO.BO,APL APOLLO TUBES LTD.
1785,APOLLOHOSP-EQ.NS,APOLLO HOSPITALS INR5
1786,APLOTYRBBPH.BO,APOLLOTYRE*
1787,APOLLOTYRE.NS,Apollo Tyres Limited
1788,APOLLOHOSP.BO,Apollo Hospitals Enterprise Ltd.
1789,APLAB.BO,APLAB Ltd.
1790,GUJAPOLLO.BO,GUJARAT APOLLO INDUSTRIES LTD.
1791,APCOTEXIND.NS,Apcotex Industries Limited
1792,APPLECREDT.BO,APPLE CREDIT CORPORATION LTD.
1793,IPAPPM.BO,INTERNATIONAL PAPER APPM LIMIT
1794,APTECHT6.BO,APTECHT6.BO
1795,APPLEFIN.BO,Apple Finance Limited
1796,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
1797,APCOTEXIND.BO,APCOTEX INDUSTRIES LTD.
1798,APIS.BO,APIS INDIA LTD.
1799,BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
1800,APTPACK.BO,APT PACKAGING LTD.
1801,APTECHBBPH.BO,APTECHLTD*
1802,APOLLOTYRE.BO,Apollo Tyres Ltd.
1803,APOLLOTYRE-EQ.NS,APOLLO TYRES INR1.00
1804,APUNKA.BO,Apunka Invest Commercial Limit
1805,APLAYA.BO,Aplaya Creations Limited
1806,RASRESOR.BO,Ras Resorts & Apart Hotels Ltd
1807,APOLSINHOT-BE.NS,Apollo Sindoori Hotels Li
1808,APEXINT.BO,APEX INTERTECH LTD.
1809,GUJAPOLLO-.BO,GUJARAT APOLLO INDUSTRIES LTD.
1810,GUJAPOLLO.NS,Gujarat Apollo Industries Limited
1811,APCOTEXBBPH.BO,APCOTEX IND*
1812,APOLSINHOT-EQ.NS,APOLLO SINDOORI HO INR10
1813,IPAPPM-EQ.NS,INTERNATIONAL PAPE INR10
1814,ELAND-EQ.NS,E-LAND APPAREL LTD INR10
1815,HARIAAPL.BO,HARIA APPARELS LTD
1816,BUTTERFLY.BO,BUTTERFLY GANDHIMATHI APPLIANC
1817,PANASONIC.NS,Panasonic Appliances India Company Limited
1818,APMIN.BO,APM Industries
1819,HINDAPL.BO,HINDUSTAN APPLIANCES LTD.
1820,PANASONIC.BO,Panasonic Appliances India Company Limited
1821,OXEMBAP.BO,OXEMBERG APPARELS LTD.
1822,APOLLOFI.BO,Apollo Finvest (India) Limited
1823,ELAND.BO,E-Land Apparel Limited
1824,MAHAPEXLTD.BO,MAHA RASHTRA APEX CORPORATION
1825,DATASOFT.BO,Datasoft Application Software India Ltd.
1826,APLAB-BE.NS,APLAB-BE.NS
1827,AQUA.BO,AQUA LOGISTICS LTD
1828,RUIAAQA.BO,RUIA AQUACULTURE FARMS LTD.
1829,TKNOMIN.BO,TKNOMIN.BO
1830,SVRNAQU.BO,SUVARNA AQUA FARM & EXPORTS LT
1831,GJTAQFD.BO,GUJARAT AQUA INDUSTRIES LTD.
1832,SHAQUAK.BO,SHANTANU SHEOREY AQUAKULT LTD.
1833,AQUAPIV.BO,AQUA PUMPS INFRA VENTURES LTD
1834,AQUA6.BO,AQUA6.BO
1835,ARSHIYA.NS,Arshiya Limited
1836,BABA.BO,Baba Arts Ltd.
1837,ARVINDREM.BO,Arvind Remedies Ltd
1838,ARSSINFRA.NS,ARSS Infrastructure Projects Limited
1839,ARSHIYA.BO,Arshiya Ltd
1840,ARROWTEX.BO,Arrow Textiles Ltd.
1841,ARONICOMM.BO,Aroni Commercials Limited
1842,ARMSPAPER.BO,Arms Paper Ltd
1843,ARIHANT.NS,Arihant Foundations & Housing Limited
1844,ARCHIES.NS,Archies Limited
1845,ARCHIES.BO,Archies Ltd.
1846,ARCHIDPLY.NS,Archidply Industries Limited
1847,ARCHIDPLY.BO,Archidply Industries Limited
1848,ARCEEIN.BO,Arcee Industries Ltd.
1849,ARNAVCORP.BO,ARNAV CORPORATION LTD.
1850,ARTEFACT.BO,Artefact Projects Ltd
1851,ARYAMAN.BO,Aryaman Financial Services Limited
1852,ARCHITORG.BO,ARCHIT ORGANOSYS LTD.
1853,ARCOTECH.BO,Arcotech Ltd
1854,ARHNTTO.BO,ARIHANT TOURNESOL LTD.
1855,AROGRANITE.BO,ARO GRANITE INDUSTRIES LTD.
1856,ARNOLD.BO,ARNOLD HOLDINGS LTD
1857,ARIHANTRED.BO,ARIHANT THREADS LTD.
1858,THIRUSUGAR.NS,Thiru Arooran Sugars Limited
1859,ARIHANT-EQ.NS,ARIHANT FOUNDATION INR10(DEMAT)
1860,ARVINDREM-EQ.NS,ARVIND REMEDIES LIMITED
1861,AROMAENT.BO,AROMA ENTERPRISES (INDIA) LTD.
1862,ARCPR.BO,Arrow Greentech Limited
1863,AROGRANBBPH.BO,ARO GRANITE*
1864,INTELLECT-EQ.NS,INTELLECT DESIGN A INR5
1865,ARCUTTIP.BO,Arcuttipore Tea Co Ltd
1866,ARAMUSK.BO,ARAMUSK INFRASTRUCTURE INVESTM
1867,ARIHANT6.BO,ARIHANT6.BO
1868,ARVINFRA.BO,ARVIND SMARTSPACES LTD
1869,CRBARIH.BO,ARIHANT MANGAL GROWTH SCHEME-C
1870,AROCSIL.BO,AROCHEM SILVASSA LTD.
1871,ARIHANTIND.BO,ARIHANT INDUSTRIES LTD.
1872,ARSSINFRA.BO,ARSS Infrastructure Projects Limited
1873,MUKTAARTS-EQ.NS,MUKTA ARTS LIMITED
1874,ARNPROC.BO,ARUN PROCESSORS LTD.
1875,ARIHCAPM.BO,Arihant Capital Markets Limited
1876,ARVIND.BO,Arvind Limited
1877,GILLANDERS-EQ.NS,GILLANDERS ARBUTHN INR10
1878,ARMANFIN.BO,Arman Financial Services Ltd
1879,ARTSONEN.BO,Artson Engineering Ltd.
1880,ARUNAHTEL.BO,ARUNA HOTELS LTD.
1881,MUKPP.BO,MUKTA ART PP
1882,EMKAR.BO,EMKAY AROMATICS LTD.
1883,MUKTAARTS.BO,Mukta Arts Ltd
1884,ARCHIES6.BO,ARCHIES6.BO
1885,ARVINFRA-EQ.NS,ARVIND INFRASTRUCT INR10
1886,ARVINDREM-BZ.NS,ARVIND REMEDIES LIMITED
1887,ARTKPOW.BO,Artech Power & Trading Limited
1888,ARVINFRA-BE.NS,ARVIND INFRASTRUCT INR10
1889,THIRUSUGAR.BO,THIRU AROORAN SUGARS LTD.
1890,AROGRANITE.NS,Aro Granite Industries Limited
1891,ARIHANTCOT.BO,ARIHANTCOT.BO
1892,ARROWCOAT-EQ.NS,ARROW GREENTECH LI INR10
1893,INTELLECT.BO,INTELLECT DESIGN ARENA LIMITED
1894,ARVINDREM.NS,Arvind Remedies Limited
1895,INTELLECT.NS,Intellect Design Arena Limited
1896,$ARLABNC.BO,ARLABS(80NC)
1897,ARTIBIOIN.BO,ARTILLEGENCE BIO-INNOVATIONS L
1898,ARSPP.BO,ARCHANA S PP
1899,ARIAC.BO,Arihant Avenues & Credit Limited
1900,ARIHANT.BO,ARIHANT FOUNDATIONS & HOUSING
1901,ARCOTECH.NS,Arcotech Limited
1902,ARVIND.NS,Arvind Limited
1903,ARCHIES-EQ.NS,ARCHIES LIMITED
1904,MUKTAARTS.NS,Mukta Arts Limited
1905,DAL.BO,dynamic Archistructures Limite
1906,ARYACAPM.BO,Aryaman Capital Markets Limite
1907,ARUNODAY.BO,ARUNODAY MILLS LTD.
1908,ARROWCOAT.NS,ARROW GREENTECH LI INR10
1909,ARFIN.BO,Arfin India Limited
1910,ARVINDIN.BO,Arvind International Ltd.
1911,ARVINFRA.NS,Arvind SmartSpaces Limited
1912,ARAVALIS.BO,Aravali Securities & Finance Ltd.
1913,GILLANDERS.BO,GILLANDERS ARBUTHNOT & CO.LTD.
1914,ASL.BO,ARIHANT SUPERSTRUCTURES LIMITE
1915,ARENTERP.BO,RAJDARSHAN INDUSTRIES LTD.
1916,ARLABS.BO,ARLABS.BO
1917,ARHTIND.BO,ARHAT INDUSTRIES LTD.
1918,GUJARTH.BO,GUJARAT ARTH LTD.
1919,AROGRANITE-EQ.NS,ARO GRANITE INDUS INR10
1920,ARROWTEX-EQ.NS,ARROW TEXTILES LTD INR10
1921,ARROWTEX.NS,Arrow Textiles Limited
1922,GILLANDERS.NS,Gillanders Arbuthnot and Company Limited
1923,ARISE.BO,Arihant's Securities Limited
1924,ARMAN.BO,ARMAN HOLDINGS LTD
1925,ARUMUGA.BO,SRI ARUMUGA ENTERPRISE LIMITED
1926,SSLFINANCE.BO,ARCHANA SOFTWARE LTD.
1927,ARCOTECH-EQ.NS,ARCOTECH LTD INR10
1928,ARISINT.BO,ARIS INTERNATIONAL LTD.
1929,ARNMNTX.BO,ARNMNTX.BO
1930,ASISL.BO,ASIS LOGISTICS LIMITED
1931,ASIANPAINT.NS,Asian Paints Limited
1932,SRAMSET.BO,Shriram Asset Management Company Ltd
1933,INDOASIAF.BO,Indo Asia Finance Limited
1934,ASTRAZEN.BO,AstraZeneca Pharma India Limited
1935,ASTEC.NS,Astec LifeSciences Limited
1936,ASSAMCO.NS,Assam Company India Limited
1937,ASIANPAINT.BO,Asian Paints Limited
1938,ASHUTPM.BO,Tridev InfraEstates Ltd
1939,ASHSI.BO,Ashirwad Steels & Industries Ltd.
1940,ASHOKLEY.BO,Ashok Leyland Limited
1941,ASHISHPO.BO,Ashish Polyplast Ltd
1942,ASHIS.BO,Ashiana Ispat Ltd
1943,ASAL.BO,Automotive Stampings & Assemblies Ltd.
1944,ASAL.NS,Automotive Stampings and Assemblies Limited
1945,BENGALASM.BO,Bengal & Assam Company Ltd.
1946,ASINPET.BO,Asian Petroproducts & Exports Limited
1947,ASYAINFO.BO,ASYA INFOSOFT LIMITED
1948,ASBUSIN.BO,ASBUSIN.BO
1949,EIHAHOTELS.NS,EIH Associated Hotels Limited
1950,ASHIKACR.BO,ASHIKA CREDIT CAPITAL LTD.
1951,BSLNIFTY-EQ.NS,BIRLA SUN LIFE ASS NIFTY GROWTH
1952,ASIANHOTNR.NS,Asian Hotels (North) Limited
1953,DWSHYD13GP-MF.NS,DEUTSCHE ASSET MGM DWS HYBRID F
1954,ASHNOOR.BO,Ashnoor Textile Mills Ltd.
1955,ASHAPURMIN.NS,Ashapura Minechem Limited
1956,ASSAMBR.BO,ASSAMBROOK LTD.
1957,ASITCFIN.BO,Asit C Mehta Financial Services Limited
1958,ASIANTILES.BO,Asian Granito India Limited
1959,ASIANTNE.BO,Asian Tea & Exports Ltd.
1960,ASSAPET.BO,ASSAM PETROCHEMICALS LTD.
1961,ASTRAMICRO.NS,Astra Microwave Products Limited
1962,ASTRAMICRO.BO,ASTRA MICROWAVE PRODUCTS LTD.
1963,DWSFMP66RG-MF.NS,DEUTSCHE ASSET MGM DWS FMP SR 6
1964,ASIAPAK.BO,ASIA PACK LTD.
1965,ASHAPURMIN.BO,ASHAPURA MINECHEM LTD.
1966,ASHRAM.BO,Ashram Online.com Ltd.
1967,ASIANFR.BO,ASIAN FERTILIZERS LTD.
1968,ASIANELEC-BZ.NS,ASIAN ELECTRONIC LTD
1969,H37131JDG2-MF.NS,HDFC ASSET MANAGEM FMP 371D JUN
1970,UTIFEFRGR2-MF.NS,UTI ASSET MANAGEME FOCUS EQTY I
1971,BSLCAP19RG-MF.NS,BIRLA SUN LIFE ASS CAPITAL PRT
1972,SMCSRVRD-MF.NS,SUNDARAM ASSET MAN MICRO CAP V
1973,ASSAMCO.BO,Assam Company India Ltd
1974,ASHCAP.BO,Ashirwad Capital Limited
1975,BSLRGES1RD-MF.NS,BIRLA SUN LIFE ASS SERIES 1-REG
1976,ASHAPURMIN-EQ.NS,ASHAPURA MINE CHEM INR2
1977,ASTRAL.BO,Astral Poly Technik Limited
1978,HRGESSRG1-MF.NS,HDFC ASSET MANAGEM SR 1-FEB 201
1979,GOYALASS.BO,GOYAL ASSOCIATES LTD.
1980,ASTRAZEN.NS,AstraZeneca Pharma India Limited
1981,ASTEC.BO,Astec LifeSciences Limited
1982,ASCENTEX.BO,ASCENT EXIM (INDIA) LTD.
1983,H37027ARG4-MF.NS,HDFC ASSET MANAGEM FMP 370D AUG
1984,ASTRAL.NS,Astral Poly Technik Limited
1985,JPASSOCIAT.NS,Jaiprakash Associates Limited
1986,ASIANVE.BO,ASIAN VEGPRO INDUSTRIES LTD.
1987,ASAHIINDIA-EQ.NS,ASAHI INDIA GLASS INR1
1988,HRGESSRD1-MF.NS,HDFC ASSET MANAGEM SR 1-FEB 201
1989,IDR1AGD-MF.NS,IDBI ASSET MGMT SR I PLAN A-GRO
1990,INFRABEES.NS,RELIANCE NIPPON LI RELIANCE ETF
1991,MC6RD-MF.NS,SUNDARAM ASSET MAN SELECT MICRO
1992,EUROASIA.BO,EURO ASIA EXPORTS LTD.
1993,SHRIASTER.BO,SHRI ASTER SILICATES LIMITED
1994,ASSMRMO.BO,ASSOCIATED MARMO & GRANITES LT
1995,KOTAKNIFTY-EQ.NS,KOTAK MAHINDRA ASS KOTAK NIFTY
1996,ASHIMASYN.BO,ASHIMA LTD.
1997,ASAHISONG.NS,Asahi Songwon Colors Limited
1998,ASHIANA.NS,Ashiana Housing Limited
1999,ASSOCER.BO,ASSOCIATED CERAMICS LTD.
2000,SMCSRVRG-MF.NS,SUNDARAM ASSET MAN MICRO CAP V
2001,SMCSRVIRG-MF.NS,SUNDARAM ASSET MAN MICRO CAP VI
2002,SHRIASTER-EQ.NS,SHRI ASTER SILICAT INR10
2003,ASEEMG.BO,ASEEM GLOBAL LTD.
2004,SC3RG-MF.NS,SUNDARAM ASSET MAN SELECT SMALL
2005,ASHOKLEY4.BO,ASHOKLEY4.BO
2006,ASINSTR.BO,ASEAN INDUSTRIAL STRUCTURES LT
2007,EIHAHOTELS.BO,EIH ASSOCIATED HOTELS LTD.
2008,ASIANHOTNR-EQ.NS,ASIAN HOTELS(NORTH INR10
2009,ASHIMASYN.NS,Ashima Limited
2010,SUNASIAN.BO,SUNRISE ASIAN LIMITED
2011,ASAHISONG.BO,ASAHI SONGWON COLORS LTD.
2012,ASHIMASYN-EQ.NS,ASHIMA INR10
2013,ASIACAP.BO,ASIA CAPITAL LIMITED
2014,IDR1ADP-MF.NS,IDBI ASSET MGMT SR I PLAN A-DIV
2015,ASIANTILES.NS,Asian Granito India Limited
2016,ASIANELEC.BO,ASIAN ELECTRONICS LTD.
2017,ASIFOOD.BO,ASIAN FOOD PRODUCTS LTD.
2018,ASHOKRE.BO,Ashoka Refineries Limited
2019,ASSOSTNB.BO,Associated Stone Industries (Kotah) Ltd.
2020,TRANSASIA.BO,Trans Asia Corporation Ltd
2021,ASAHIINDIA.BO,ASAHI INDIA GLASS LTD.
2022,ASHCONIUL.BO,ASHCO NIULAB INDUSTRIES LTD.
2023,ASTEC-EQ.NS,ASTEC LIFESCIENCES LIMITED
2024,BSLFTPLLRG-MF.NS,BIRLA SUN LIFE ASS FIXED TERM P
2025,SHRIASTER.NS,Shri Aster Silicates Limited
2026,OJASASSET.BO,OJAS ASSET RECONSTRUCTION COMP
2027,ASHOKA.BO,ASHOKA BUILDCON LTD.
2028,ASAHISONG-BE.NS,ASAHI SONGWON COLO INR10
2029,ASFLORA.BO,ASIAN FLORA LTD.
2030,SHREEASHTA.BO,SHREE ASHTAVINAYAK CINE VISION
2031,549-MF.NS,SUNDARAM ASSET MAN TOP 100 III(
2032,ASHIANA.BO,ASHIANA HOUSING LTD.
2033,SOASMUS.BO,SOUTH ASIAN MUSHROOMS LTD.
2034,ASAHIINDIA.NS,Asahi India Glass Limited
2035,ASIANFILMS.BO,ASIAN FILMS PRODUCTION & DISTR
2036,ASMTEC.BO,ASM Technologies Ltd.
2037,ASAHIIND.BO,ASAHI INDUSTRIES LIMITED
2038,ASAHIINDIA6.BO,ASAHIINDIA6.BO
2039,ASIANHOTNR.BO,ASIAN HOTELS (NORTH) LIMITED
2040,SAENTER.BO,South Asian Enterprises Limited
2041,BSLRGES1RG-MF.NS,BIRLA SUN LIFE ASS SERIES 1-REG
2042,ASHOKA.NS,Ashoka Buildcon Limited
2043,ASUTENT.BO,ASUTOSH ENTERPRISES LTD.
2044,ASIANBRG.BO,ASIAN BEARINGS LTD.
2045,ASHOKCT.BO,ASHOKA COTSEEDS LTD.
2046,ASIANOI.BO,Asian Oilfield Services Ltd.
2047,ASTAR.BO,Asian Star Company Limited
2048,SANGHAS.BO,SANGHVI ASBESTOS CEMENTS LTD.
2049,ATVPR.BO,"ATV Projects India, Ltd."
2050,ATUL.NS,Atul Ltd
2051,ATHARVENT.BO,Atharv Enterprises Limited
2052,ATULAUTO-EQ.NS,ATUL AUTO LTD INR5
2053,ATNINTER.BO,ATN INTERNATIONAL LTD.
2054,ATISHAY.BO,Atishay Limited
2055,ATNINTER-EQ.NS,ATN INTERNATIONAL INR4.00
2056,ATHCON.BO,Athena Constructions Limited
2057,ATHENA.BO,ATHENA FINANCIAL SERVICES LTD.
2058,ATLANTA.BO,Atlanta Ltd.
2059,ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited
2060,ATLASCYCLE.BO,ATLAS CYCLES (HARYANA) LTD.
2061,ATULAUTO.BO,Atul Auto Limited
2062,ATCOM.BO,ATCOM TECHNOLOGIES LTD.
2063,ATNINTER.NS,ATN International Ltd.
2064,VJIL.BO,Athena Global Technologies Limited
2065,ATUL.BO,ATUL LTD.
2066,ATLANTADEV.BO,ATLANTA DEVCON LIMITED
2067,ATULAUTO.NS,Atul Auto Limited
2068,ATLANTA.NS,Atlanta Limited
2069,ATHENAGLO.BO,Athena Global Technologies Lim
2070,ATNINTER-BE.NS,ATNINTER-BE.NS
2071,BAJAJ-AUTO.NS,Bajaj Auto Limited
2072,AUTOAXLES.BO,Automotive Axles Ltd.
2073,PORWAL.BO,Porwal Auto Components Ltd
2074,MUNJALAU.NS,Munjal Auto Industries Limited
2075,LUMAXTECH.BO,Lumax Auto Technologies Limited
2076,AUTOLITIND.NS,Autolite (India) Limited
2077,AURANPAP.BO,Aurangabad Paper Mills Limited
2078,CLUTCHAUTO-EQ.NS,CLUTCH AUTO INR10
2079,PPAP.BO,PPAP Automotive Limited
2080,HIRAUTO.BO,HIRA AUTOMOBILES LTD.
2081,GSAUTO.BO,GS Auto International Limited
2082,AUSOMENT-BE.NS,AUSOM ENTERPRISE INR10
2083,KAILASH.BO,Kailash Auto Finance Ltd
2084,$AUTPA42.BO,AUTOPAL IND
2085,AUTOINT.BO,AUTORIDERS INTERNATIONAL LTD.
2086,BRAKAUT.BO,Brakes Auto (India) Limited
2087,PPAP.NS,PPAP Automotive Limited
2088,LUMAXTECH.NS,Lumax Auto Technologies Limited
2089,SWARAJAUTO.BO,SWARAJ AUTOMOTIVES LIMITED
2090,AUTOLITIND.BO,AUTOLITE (INDIA) LTD.
2091,AURIONPRO-EQ.NS,AURIONPRO SOLUTIONS LIMITED
2092,INDIGO.NS,InterGlobe Aviation Limited
2093,AVTNPL.NS,AVT Natural Products Limited
2094,AVANTEL.BO,Avantel Ltd
2095,AVANCE.BO,Avance Technologies Limited
2096,AVAILFC.BO,Available Finance Ltd
2097,AVONCORP.BO,Avon Corporation Ltd
2098,AVANTI.BO,AVANTI FEEDS LTD.
2099,AVIPHOT.BO,AVI Photochem Ltd
2100,AVANTBBPH.BO,AVANTEL*
2101,AVNCPRN.BO,AVON INDUSTRIES LTD.
2102,INDIGO.BO,InterGlobe Aviation Limited
2103,AVIVA.BO,Aviva Industries Limited
2104,AVTNPL.BO,AVT Natural Products Limited
2105,AVANTIFEED-EQ.NS,AVANTI FEEDS INR2
2106,AVONLIFE.BO,Avon Lifesciences Limited
2107,AVINF.BO,AVINASH INFORMATION TECHNOLOGI
2108,AVONMERC.BO,AVON MERCANTILE LTD.
2109,AVONMORE.BO,AVONMORE CAPITAL & MANAGEMENT
2110,AVANTIFEED.NS,AVANTI FEEDS INR2
2111,AVONORG.BO,Avon Lifesciences Limited
2112,AVI.BO,Avi Polymers Ltd.
2113,AVANTEBBPH.BO,AVANTE LTD*
2114,AVTNPL-EQ.NS,AVT NATURAL PRODUCTS LIMITED
2115,INDIGO-EQ.NS,INTERGLOBE AVIATIO INR10
2116,AXISBANK.NS,Axis Bank Limited
2117,AXTEL.BO,Axtel Industries Ltd
2118,AXISBANK-IL.NS,AXIS BANK INR2
2119,AXELPOLY.BO,Axel Polymers Ltd
2120,AXISCADES.NS,AXISCADES Engineering Technologies Limited
2121,WHELTEX.BO,Wheel & Axle Textiles Ltd
2122,AXISGOLD.BO,AXIS MUTUAL FUND - AXIS GOLD E
2123,AXISCADES.BO,AXISCADES
2124,AXISCAP.BO,Elixir Capital Limited
2125,AXISCADES-EQ.NS,AXISCADES ENGINEER INR10
2126,AXISGOLD.NS,Axis Gold ETF
2127,AUTOAXLES.NS,Automotive Axles Limited
2128,OMNIAX.BO,Omni Ax's Software Limited
2129,GUPTCIN.BO,AXIS RAIL INDIA LTD
2130,AXISBANK.BO,AXIS Bank Limited
2131,AXONVL.BO,Axon Ventures Limited
2132,AYMSYNTEX.BO,AYM Syntex Limited
2133,KERALAYUR.BO,Kerala Ayurveda Ltd.
2134,AYMSYNTEX.NS,AYM Syntex Limited
2135,AYPLAMI.BO,AYEPEE LAMITUBES LTD.
2136,AYOME.BO,AYOKI MERCANTILE LTD.
2137,AZUREEXIM.BO,AZURE EXIM SERVICES LTD.
2138,IDBI.BO,IDBI Bank Limited
2139,ICICIBANK.NS,ICICI Bank Limited
2140,CANBK.NS,Canara Bank
2141,BARTRONICS.BO,Bartronics India Limited
2142,BALLARPUR.NS,Ballarpur Industries Limited
2143,BAJAJCORP.BO,Bajaj Corp Limited
2144,INDIANB.NS,Indian Bank
2145,INDBNK.BO,Ind. Bank Housing Ltd
2146,IDFCBANK.NS,IDFC Bank Limited
2147,HDFCBANK.NS,HDFC Bank Limited
2148,INDUSINDBK-EQ.NS,INDUSIND BANK INR10
2149,BLIL.BO,Balmer Lawrie Investments Limited
2150,BATLIBOI.BO,Batliboi Ltd.
2151,BASF.NS,BASF India Limited
2152,BASF.BO,BASF India Limited
2153,BANSWRAS.BO,Banswara Syntex Ltd.
2154,BALTE.BO,Balurghat Technologies Ltd.
2155,BALRAMCHIN.BO,Balrampur Chini Mills Limited
2156,BALATECGL.BO,Bala Techno Global Ltd.
2157,BAJAJCORP.NS,Bajaj Corp Limited
2158,BAGFILMS.NS,B.A.G. Films and Media Limited
2159,BAGADIA.BO,Bagadia Colourchem Ltd.
2160,BAFNAPHARM.NS,Bafna Pharmaceuticals Limited
2161,CORPBANK.BO,Corporation Bank
2162,MYSOREBANK6.BO,MYSOREBANK6.BO
2163,SBT.BO,State Bank of Travancore
2164,FEDERALBNK6.BO,FEDERALBNK6.BO
2165,BAJAJFINS.NS,BAJAJ FINSERV LIMITED
2166,BANKBEES.NS,Goldman Sachs Bank BeES ETF
2167,RATHIBAR.BO,Rathi Bars Limited
2168,BALRAMCHIN6.BO,BALRAMCHIN6.BO
2169,BANKINDIA.BO,BANK OF INDIA
2170,BASF6.BO,BASF6.BO
2171,BALFC.BO,Baid Leasing & Finance Co Ltd
2172,PSB-EQ.NS,PUNJAB & SIND BANK
2173,BAJAJ-AUTO-EQ.NS,BAJAJ AUTO LTD INR10
2174,BRPL.BO,BANSAL ROOFING PRODUCTS LTD
2175,BANARBEADS.BO,BANARAS BEADS LTD.
2176,BALAJIIND.BO,BALAJI INDUSTRIAL CORPORATION
2177,IDFCBANK.BO,IDFC Bank Limited
2178,PSUBNKBEES.NS,Goldman Sachs PSU Bank BeES ETF
2179,ORIENTBANK.NS,Oriental Bank of Commerce
2180,BALKRISIND.BO,BALKRISHNA INDUSTRIES LTD.
2181,INDIANB.BO,Indian Bank
2182,BAFNASP.BO,BAFNA SPINNING MILLS & EXPORTS
2183,BAJFINANCE.NS,Bajaj Finance Limited
2184,BVCL-EQ.NS,BARAK VALLEY CEMEN INR10
2185,BANSTEA.BO,BANSISONS TEA INDUSTRIES LTD.
2186,BANKBEES.BO,Goldman Sachs Mutual Fund - Goldman Sachs Banking Index Exchange Traded Scheme
2187,BAMPSL.BO,Bampsl Securities Ltd.
2188,BBL.NS,Bharat Bijlee Limited
2189,BBTC-EQ.NS,BOMBAY BURMAH TRADING CORPORATI
2190,BBL.BO,Bharat Bijlee Limited
2191,BBTC.BO,BOMBAY BURMAH TRADING CORP.LTD
2192,BBL-EQ.NS,BHARAT BIJLEE LIMITED
